Season,Episode,Title,Year,Total votes,Average rating,z-score
15,19,Simple Simpson,2004,"1,445.00",7.30,0.15
15,20,The Way We Weren't,2004,"1,415.00",7.20,0.03
15,21,Bart-Mangled Banner,2004,"1,382.00",6.40,-0.94
15,22,Fraudcast News,2004,"1,336.00",7.20,0.03
16,1,Treehouse of Horror XV,2004,"1,655.00",7.40,0.27
16,2,All's Fair in Oven War,2004,"1,360.00",6.90,-0.34
16,3,Sleeping with the Enemy,2004,"1,403.00",7.20,0.03
16,4,She Used to Be My Girl,2004,"1,346.00",6.50,-0.82
16,5,Fat Man and Little Boy,2004,"1,290.00",7.00,-0.22
16,6,Midnight Rx,2005,"1,315.00",7.20,0.03
16,7,Mommie Beerest,2005,"1,264.00",6.90,-0.34
16,8,Homer and Ned's Hail Mary Pass,2005,"1,330.00",6.30,-1.07
16,9,Pranksta Rap,2005,"1,383.00",6.60,-0.70
16,10,There's Something About Marrying,2005,"1,367.00",6.90,-0.34
16,11,On a Clear Day I Can't See My Sister,2005,"1,381.00",6.80,-0.46
16,12,Goo Goo Gai Pan,2005,"1,366.00",7.00,-0.22
16,13,Mobile Homer,2005,"1,282.00",6.80,-0.46
16,14,The Seven-Beer Snitch,2005,"1,275.00",6.80,-0.46
16,15,Future-Drama,2005,"1,440.00",7.30,0.15
16,16,Don't Fear the Roofer,2005,"1,503.00",7.50,0.39
16,17,The Heartbroke Kid,2005,"1,359.00",7.20,0.03
16,18,A Star Is Torn,2005,"1,319.00",6.70,-0.58
16,19,Thank God It's Doomsday,2005,"1,339.00",7.20,0.03
16,20,Home Away from Homer,2005,"1,285.00",7.10,-0.09
16,21,"The Father, the Son, and the Holy Guest Star",2005,"1,422.00",7.30,0.15
17,1,The Bonfire of the Manatees,2005,"1,417.00",6.20,-1.19
17,2,The Girl Who Slept Too Little,2005,"1,379.00",6.80,-0.46
17,3,Milhouse of Sand and Fog,2005,"1,289.00",6.90,-0.34
17,4,Treehouse of Horror XVI,2005,"1,568.00",7.30,0.15
17,5,Marge's Son Poisoning,2005,"1,341.00",6.90,-0.34
17,6,See Homer Run,2005,"1,308.00",6.80,-0.46
17,7,The Last of the Red Hat Mamas,2005,"1,334.00",6.60,-0.70
17,8,The Italian Bob,2005,"1,541.00",7.10,-0.09
17,9,Simpsons Christmas Stories,2005,"1,335.00",6.80,-0.46
17,10,Homer's Paternity Coot,2006,"1,328.00",6.70,-0.58
17,11,We're on the Road to D'ohwhere,2006,"1,279.00",6.90,-0.34
17,12,My Fair Laddy,2006,"1,314.00",6.50,-0.82
17,13,The Seemingly Never-Ending Story,2006,"1,531.00",7.60,0.51
17,14,Bart Has Two Mommies,2006,"1,300.00",7.00,-0.22
17,15,"Homer Simpson, This Is Your Wife",2006,"1,629.00",6.50,-0.82
17,16,Million Dollar Abie,2006,"1,394.00",6.30,-1.07
17,17,"Kiss Kiss, Bang Bangalore",2006,"1,430.00",7.20,0.03
